,Unnamed: 0,annot1_idx,annot2_idx,Gof,label1,label2,label1_orig,label1_orig_renamed
226,226,227,11,98.1351981351981,R_7PL_ROI_R,parc_2,R_7PL_ROI,7PL_R
227,227,228,12,79.3069306930693,R_7PC_ROI_R,parc_3,R_7PC_ROI,7PC_R
228,228,229,12,100.0,R_LIPv_ROI_R,parc_3,R_LIPv_ROI,LIPv_R
229,229,230,11,60.1904761904762,R_VIP_ROI_R,parc_2,R_VIP_ROI,VIP_R
230,230,231,12,98.6503067484662,R_MIP_ROI_R,parc_3,R_MIP_ROI,MIP_R
231,231,232,14,89.6332518337408,R_1_ROI_R,parc_5,R_1_ROI,1_R
232,232,233,12,90.3535873669756,R_2_ROI_R,parc_3,R_2_ROI,2_R
233,233,234,11,53.1638418079096,R_3a_ROI_R,parc_2,R_3a_ROI,3a_R
234,234,235,10,100.0,R_6d_ROI_R,parc_1,R_6d_ROI,6d_R
235,235,236,11,52.3383768913342,R_6mp_ROI_R,parc_2,R_6mp_ROI,6mp_R
236,236,237,11,61.0719322990127,R_6v_ROI_R,parc_2,R_6v_ROI,6v_R
237,237,238,15,100.0,R_p24pr_ROI_R,parc_6,R_p24pr_ROI,p24pr_R
238,238,239,15,70.8530805687204,R_33pr_ROI_R,parc_6,R_33pr_ROI,33pr_R
239,239,240,15,100.0,R_a24pr_ROI_R,parc_6,R_a24pr_ROI,a24pr_R
240,240,241,15,51.9795657726692,R_p32pr_ROI_R,parc_6,R_p32pr_ROI,p32pr_R
241,241,242,15,61.219512195122,R_a24_ROI_R,parc_6,R_a24_ROI,a24_R
242,242,243,11,85.8974358974359,R_d32_ROI_R,parc_2,R_d32_ROI,d32_R
243,243,244,11,100.0,R_8BM_ROI_R,parc_2,R_8BM_ROI,8BM_R
244,244,245,13,61.8101545253863,R_p32_ROI_R,parc_4,R_p32_ROI,p32_R
245,245,246,13,98.1609195402299,R_10r_ROI_R,parc_4,R_10r_ROI,10r_R
246,246,247,13,100.0,R_47m_ROI_R,parc_4,R_47m_ROI,47m_R
247,247,248,11,100.0,R_8Av_ROI_R,parc_2,R_8Av_ROI,8Av_R
248,248,249,11,100.0,R_8Ad_ROI_R,parc_2,R_8Ad_ROI,8Ad_R
249,249,250,11,96.716630977873,R_9m_ROI_R,parc_2,R_9m_ROI,9m_R
250,250,251,11,100.0,R_8BL_ROI_R,parc_2,R_8BL_ROI,8BL_R
251,251,252,11,100.0,R_9p_ROI_R,parc_2,R_9p_ROI,9p_R
252,252,253,11,88.1679389312977,R_10d_ROI_R,parc_2,R_10d_ROI,10d_R
253,253,254,11,100.0,R_8C_ROI_R,parc_2,R_8C_ROI,8C_R
254,254,255,11,100.0,R_44_ROI_R,parc_2,R_44_ROI,44_R
255,255,256,11,75.7961783439491,R_45_ROI_R,parc_2,R_45_ROI,45_R
256,256,257,13,100.0,R_47l_ROI_R,parc_4,R_47l_ROI,47l_R
257,257,258,11,65.5973451327434,R_a47r_ROI_R,parc_2,R_a47r_ROI,a47r_R
258,258,259,11,100.0,R_6r_ROI_R,parc_2,R_6r_ROI,6r_R
259,259,260,11,100.0,R_IFJa_ROI_R,parc_2,R_IFJa_ROI,IFJa_R
260,260,261,11,100.0,R_IFJp_ROI_R,parc_2,R_IFJp_ROI,IFJp_R
261,261,262,11,100.0,R_IFSp_ROI_R,parc_2,R_IFSp_ROI,IFSp_R
262,262,263,11,97.4734042553192,R_IFSa_ROI_R,parc_2,R_IFSa_ROI,IFSa_R
263,263,264,11,100.0,R_p9-46v_ROI_R,parc_2,R_p9-46v_ROI,p9-46v_R
264,264,265,11,100.0,R_46_ROI_R,parc_2,R_46_ROI,46_R
265,265,266,11,99.0740740740741,R_a9-46v_ROI_R,parc_2,R_a9-46v_ROI,a9-46v_R
266,266,267,11,88.8567293777135,R_9-46d_ROI_R,parc_2,R_9-46d_ROI,9-46d_R
267,267,268,11,99.5290423861852,R_9a_ROI_R,parc_2,R_9a_ROI,9a_R
268,268,269,13,100.0,R_10v_ROI_R,parc_4,R_10v_ROI,10v_R
269,269,270,11,56.8034557235421,R_a10p_ROI_R,parc_2,R_a10p_ROI,a10p_R
270,270,271,13,96.8085106382979,R_10pp_ROI_R,parc_4,R_10pp_ROI,10pp_R
271,271,272,13,96.9631236442516,R_11l_ROI_R,parc_4,R_11l_ROI,11l_R
272,272,273,13,100.0,R_13l_ROI_R,parc_4,R_13l_ROI,13l_R
273,273,274,13,100.0,R_OFC_ROI_R,parc_4,R_OFC_ROI,OFC_R
274,274,275,13,99.6996996996997,R_47s_ROI_R,parc_4,R_47s_ROI,47s_R
275,275,276,12,100.0,R_LIPd_ROI_R,parc_3,R_LIPd_ROI,LIPd_R
276,276,277,11,80.3498542274052,R_6a_ROI_R,parc_2,R_6a_ROI,6a_R
277,277,278,11,100.0,R_i6-8_ROI_R,parc_2,R_i6-8_ROI,i6-8_R
278,278,279,11,100.0,R_s6-8_ROI_R,parc_2,R_s6-8_ROI,s6-8_R
279,279,280,11,100.0,R_43_ROI_R,parc_2,R_43_ROI,43_R
280,280,281,12,48.1751824817518,R_OP4_ROI_R,parc_3,R_OP4_ROI,OP4_R
281,281,282,12,100.0,R_OP1_ROI_R,parc_3,R_OP1_ROI,OP1_R
